scene,split,seq,img_path,t1,t2,t3,q1,q2,q3,q4
StMarysChurch,train,seq1,StMarysChurch/seq1/frame00218.png,1.398847,0.214301,-7.3330350000000015,0.987791,-0.116582,-0.102753,-0.010937
StMarysChurch,train,seq2,StMarysChurch/seq2/frame00158.png,18.481953,0.137072,58.133926,0.160327,-0.064137,0.972707,-0.155016
StMarysChurch,train,seq4,StMarysChurch/seq4/frame00179.png,17.992406,-0.044343,57.786221,0.131827,-0.035368,0.962905,-0.232802
StMarysChurch,train,seq2,StMarysChurch/seq2/frame00273.png,-13.527731,0.6551680000000001,2.797296,0.780879,-0.128104,-0.594882,0.1411849999999999
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00006.png,27.564092,-0.383514,57.809584,0.35745,-0.013494,0.927139,-0.111649
StMarysChurch,train,seq7,StMarysChurch/seq7/frame00061.png,-14.650436,0.8501,-2.775379,0.801401,-0.067308,-0.5916170000000001,0.056713
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00153.png,-9.556204,0.890325,15.154203,0.7374390000000001,-0.122698,-0.6622359999999999,0.050729
StMarysChurch,train,seq7,StMarysChurch/seq7/frame00040.png,-16.834411,0.8625079999999999,-10.394121,0.8447389999999999,-0.1656099999999999,-0.506425,0.050234
StMarysChurch,train,seq1,StMarysChurch/seq1/frame00197.png,-8.072196,0.6973659999999999,2.401302,0.767587,-0.112115,-0.626272,0.077619
StMarysChurch,train,seq4,StMarysChurch/seq4/frame00189.png,10.533346,-0.031359,56.716303,0.052545,0.049288,0.973379,-0.217855
StMarysChurch,train,seq2,StMarysChurch/seq2/frame00019.png,22.760777,-0.838275,-15.646221,0.962998,-0.127396,0.229322,0.061784
StMarysChurch,train,seq4,StMarysChurch/seq4/frame00238.png,-13.695367999999998,1.140996,40.266857,0.308085,-0.079553,-0.921327,0.223407
StMarysChurch,train,seq2,StMarysChurch/seq2/frame00161.png,16.390372,0.096422,58.025204,0.103567,-0.087971,0.978818,-0.15346
StMarysChurch,train,seq4,StMarysChurch/seq4/frame00270.png,-12.156229,0.800858,18.307526,0.5053350000000001,-0.22247,-0.78299,0.286481
StMarysChurch,train,seq2,StMarysChurch/seq2/frame00242.png,-13.883991,0.973148,23.999451,0.457074,-0.079191,-0.868123,0.176571
StMarysChurch,train,seq4,StMarysChurch/seq4/frame00196.png,5.504082,0.61236,56.40456700000001,0.143554,-0.067101,-0.959967,0.231047
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00135.png,-9.305157,1.009931,26.210414,0.373048,-0.117662,-0.915451,0.09456
StMarysChurch,train,seq1,StMarysChurch/seq1/frame00008.png,35.951909,-1.129409,1.880642,0.783092,-0.052648,0.617182,-0.055513
StMarysChurch,train,seq2,StMarysChurch/seq2/frame00185.png,0.10562,0.791283,56.43661899999999,0.149467,-0.033178,-0.981768,0.112679
StMarysChurch,train,seq4,StMarysChurch/seq4/frame00047.png,23.784282,-0.973096,-14.923431,0.926386,-0.313201,0.202302,-0.052808
StMarysChurch,train,seq2,StMarysChurch/seq2/frame00069.png,37.93947100000001,-1.451578,8.795675,0.79394,-0.073241,0.602405,-0.037459
StMarysChurch,train,seq1,StMarysChurch/seq1/frame00098.png,18.605753,0.029874,54.677599,0.181457,-0.000503,0.968116,-0.172748
StMarysChurch,train,seq4,StMarysChurch/seq4/frame00291.png,-12.904738,0.630059,3.426724,0.6896979999999999,-0.23865,-0.635579,0.2518
StMarysChurch,train,seq7,StMarysChurch/seq7/frame00057.png,-16.698552,1.065921,-1.148251,0.773163,-0.098417,-0.622638,0.069683
StMarysChurch,train,seq4,StMarysChurch/seq4/frame00256.png,-12.879444,0.8847280000000001,27.788156,0.414167,-0.129847,-0.8729290000000001,0.222712
StMarysChurch,train,seq7,StMarysChurch/seq7/frame00006.png,-13.086339,0.691154,-17.598898000000005,0.91728,-0.127077,-0.374413,0.04759
StMarysChurch,train,seq1,StMarysChurch/seq1/frame00007.png,35.94932700000001,-1.09493,1.239998,0.7952279999999999,-0.047148,0.603384,-0.036294
StMarysChurch,train,seq2,StMarysChurch/seq2/frame00300.png,-9.215322,0.498246,-15.661728,0.908019,-0.100392,-0.404172,0.045494
StMarysChurch,train,seq4,StMarysChurch/seq4/frame00086.png,38.02959600000001,-1.42974,3.481926,0.695329,-0.169302,0.6767270000000001,-0.172906
StMarysChurch,train,seq4,StMarysChurch/seq4/frame00260.png,-12.58812,0.904596,24.971485,0.4138770000000001,-0.147095,-0.860419,0.258357
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00167.png,-10.058909,0.793349,8.670288000000001,0.696261,-0.093178,-0.706659,0.0846929999999999
StMarysChurch,train,seq2,StMarysChurch/seq2/frame00216.png,-14.022682,1.365499,42.528905,0.531692,-0.090755,-0.831448,0.13327
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00155.png,-9.483087,0.601206,13.921696,0.916862,-0.076171,-0.39079,-0.029067
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00067.png,-3.579489,0.8830290000000001,50.457273,0.193861,-0.091495,-0.963388,0.161043
StMarysChurch,train,seq8,StMarysChurch/seq8/frame00018.png,-16.143708,0.883582,-12.592192,0.954976,-0.024639,-0.295537,0.008434
StMarysChurch,train,seq4,StMarysChurch/seq4/frame00061.png,33.317172,-1.360367,-12.308577,0.798445,-0.212986,0.540647,-0.157558
StMarysChurch,train,seq1,StMarysChurch/seq1/frame00104.png,14.329803,0.26634,54.52653100000001,0.04192,-0.023131,0.980016,-0.194324
StMarysChurch,train,seq1,StMarysChurch/seq1/frame00026.png,35.964904,-1.072177,14.337132999999998,0.691391,-0.051536,0.719164,-0.046114
StMarysChurch,train,seq8,StMarysChurch/seq8/frame00016.png,-15.169775,0.8324370000000001,-12.247238,0.946164,-0.06189,-0.316939,0.02221
StMarysChurch,train,seq4,StMarysChurch/seq4/frame00131.png,37.616877,-1.202277,35.459313,0.371868,-0.071087,0.900958,-0.211983
StMarysChurch,train,seq4,StMarysChurch/seq4/frame00132.png,37.653046,-0.963577,36.268374,0.369133,-0.062527,0.900773,-0.220096
StMarysChurch,train,seq2,StMarysChurch/seq2/frame00190.png,-3.427479,0.943991,55.79549100000001,0.190654,-0.108211,-0.97151,0.090048
StMarysChurch,train,seq2,StMarysChurch/seq2/frame00337.png,17.37046,-0.413501,-17.566758,0.976548,-0.131083,0.170091,-0.015505
StMarysChurch,train,seq4,StMarysChurch/seq4/frame00213.png,-7.096546000000001,1.145607,55.296273,0.245985,-0.090026,-0.944993,0.195894
StMarysChurch,train,seq1,StMarysChurch/seq1/frame00042.png,36.178578,-1.031628,25.778747,0.688683,-0.04025,0.723691,-0.019158
StMarysChurch,train,seq4,StMarysChurch/seq4/frame00081.png,38.480926,-1.555417,-0.24159,0.660506,-0.182645,0.690637,-0.23107
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00009.png,25.818842,-0.364843,57.938979,0.247378,0.005229,0.9467,-0.206255
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00154.png,-9.424845,0.410073,14.44216,0.834141,-0.111625,-0.5392819999999999,0.030395
StMarysChurch,train,seq2,StMarysChurch/seq2/frame00245.png,-13.81633,0.935479,21.876891,0.512307,-0.085543,-0.84109,0.150977
StMarysChurch,train,seq1,StMarysChurch/seq1/frame00090.png,24.520711,-0.04325,54.362957,0.2866,-0.004343,0.94575,-0.152967
StMarysChurch,train,seq2,StMarysChurch/seq2/frame00266.png,-13.123412,0.785602,6.608814,0.703212,-0.115394,-0.693231,0.107745
StMarysChurch,train,seq2,StMarysChurch/seq2/frame00163.png,14.94935,0.229715,57.68502,0.098535,-0.06044,0.982254,-0.147864
StMarysChurch,train,seq2,StMarysChurch/seq2/frame00156.png,19.867835,-0.033588,58.344611,0.232785,-0.036077,0.962429,-0.135096
StMarysChurch,train,seq1,StMarysChurch/seq1/frame00139.png,-7.230459,1.007414,44.916232,0.390232,-0.09677,-0.908638,0.112839
StMarysChurch,train,seq2,StMarysChurch/seq2/frame00336.png,16.700817999999998,-0.398659,-17.913307,0.97594,-0.122883,0.179508,-0.014777
StMarysChurch,train,seq4,StMarysChurch/seq4/frame00225.png,-13.346725,1.283847,49.143812,0.35849,-0.117199,-0.914472,0.146594
StMarysChurch,train,seq4,StMarysChurch/seq4/frame00254.png,-12.892867,0.869876,29.221482,0.372458,-0.101104,-0.899482,0.204902
StMarysChurch,train,seq2,StMarysChurch/seq2/frame00329.png,11.844099,-0.288519,-17.946307,0.98617,-0.164485,0.010728,0.017271
StMarysChurch,train,seq1,StMarysChurch/seq1/frame00181.png,-7.655419,0.686984,14.138258,0.629958,-0.083799,-0.770112,0.055304
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00033.png,16.335067000000002,0.1648079999999999,51.432866,0.270412,0.004336,0.958227,-0.093081
StMarysChurch,train,seq1,StMarysChurch/seq1/frame00215.png,-0.754638,0.23643,-7.1656710000000015,0.982176,-0.119592,-0.142355,0.027616
StMarysChurch,train,seq4,StMarysChurch/seq4/frame00202.png,0.975832,0.6976220000000001,55.943151,0.115817,-0.055349,-0.968019,0.215583
StMarysChurch,train,seq1,StMarysChurch/seq1/frame00118.png,4.446262,0.536473,53.761194,0.144388,-0.027848,-0.976914,0.15509
StMarysChurch,train,seq1,StMarysChurch/seq1/frame00078.png,32.231544,-0.707032,50.827203,0.274394,-0.027103,0.953418,-0.122374
StMarysChurch,train,seq4,StMarysChurch/seq4/frame00016.png,1.578279,-0.17851,-17.529638000000002,0.923174,-0.352639,-0.142651,0.055191
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00074.png,-6.7639,1.068426,51.30159,0.4777810000000001,-0.078895,-0.8707090000000001,0.085834
StMarysChurch,train,seq2,StMarysChurch/seq2/frame00108.png,38.584832,-1.41087,37.861275,0.648519,-0.065242,0.7583850000000001,0.0042229999999999
StMarysChurch,train,seq1,StMarysChurch/seq1/frame00025.png,35.936912,-1.122134,13.662966,0.696768,-0.04246,0.71519,-0.034843
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00081.png,-8.536951,1.210812,54.01538100000001,0.385447,-0.068439,-0.913422,0.111394
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00087.png,-10.36546,1.221984,50.868008,0.321331,-0.085461,-0.938001,0.097966
StMarysChurch,train,seq4,StMarysChurch/seq4/frame00275.png,-12.847457,0.7403810000000001,14.812551999999998,0.531191,-0.232735,-0.770035,0.265927
StMarysChurch,train,seq4,StMarysChurch/seq4/frame00100.png,38.207858,-1.337329,13.366445,0.6100270000000001,-0.156934,0.751052,-0.197892
StMarysChurch,train,seq7,StMarysChurch/seq7/frame00052.png,-18.685306,1.0409,-2.682376,0.792925,-0.087034,-0.600063,0.060169
StMarysChurch,train,seq1,StMarysChurch/seq1/frame00162.png,-7.0379130000000005,0.8244610000000001,28.288209,0.579266,-0.09513,-0.802848,0.104094
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00090.png,-11.639219,1.327205,49.522967,0.515429,-0.076915,-0.8517290000000001,0.054561
StMarysChurch,train,seq1,StMarysChurch/seq1/frame00185.png,-7.960917999999999,0.6727420000000001,11.126796,0.644546,-0.082893,-0.757564,0.061543
StMarysChurch,train,seq8,StMarysChurch/seq8/frame00011.png,-12.424642,0.60159,-11.886081,0.843326,-0.297898,-0.432932,0.112372
StMarysChurch,train,seq11,StMarysChurch/seq11/frame00018.png,33.165544,-0.375833,57.14795400000001,0.344489,0.037422,0.934291,-0.083838
StMarysChurch,train,seq4,StMarysChurch/seq4/frame00278.png,-13.027194,0.72495,12.586316,0.558401,-0.240966,-0.747754,0.266438
StMarysChurch,train,seq2,StMarysChurch/seq2/frame00175.png,7.045317999999999,0.338311,57.005809,0.002051,0.022717,-1.034951,0.118491
StMarysChurch,train,seq4,StMarysChurch/seq4/frame00101.png,38.204383,-1.313812,14.214472,0.6296430000000001,-0.152358,0.739252,-0.183968
StMarysChurch,train,seq2,StMarysChurch/seq2/frame00332.png,13.946167,-0.30347,-17.850226,0.989932,-0.13319,0.047892,-0.000831
StMarysChurch,train,seq1,StMarysChurch/seq1/frame00201.png,-7.68872,0.6184310000000001,-0.48115,0.826732,-0.115816,-0.547078,0.061692
StMarysChurch,train,seq2,StMarysChurch/seq2/frame00160.png,17.113266,0.227459,58.02702900000001,0.106778,-0.08279,0.977369,-0.162914
StMarysChurch,train,seq7,StMarysChurch/seq7/frame00029.png,-12.668569,0.6992619999999999,-10.615915,0.8925719999999999,-0.139776,-0.425451,0.052616
StMarysChurch,train,seq2,StMarysChurch/seq2/frame00010.png,16.470453,-0.444871,-17.40086,0.979959,-0.111465,0.140455,0.086773
StMarysChurch,train,seq2,StMarysChurch/seq2/frame00085.png,38.716066,-1.937567,20.519621,0.764304,-0.093081,0.637958,0.013636
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00162.png,-10.182994,0.8628950000000001,10.879046,0.947704,-0.061687,-0.311895,0.027807
StMarysChurch,train,seq2,StMarysChurch/seq2/frame00124.png,36.843448,-0.8918010000000001,49.169263,0.472544,-0.0780059999999999,0.877606,-0.020624
StMarysChurch,train,seq2,StMarysChurch/seq2/frame00201.png,-9.925956,1.11875,52.156689,0.481666,-0.083124,-0.8689680000000001,0.077348
StMarysChurch,train,seq4,StMarysChurch/seq4/frame00223.png,-12.601115,1.158776,50.57259000000001,0.317234,-0.10494,-0.926589,0.172579
StMarysChurch,train,seq4,StMarysChurch/seq4/frame00321.png,-8.591078999999999,0.50522,-14.777693,0.8876719999999999,-0.330506,-0.309612,0.083342
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00160.png,-9.903871,0.915458,11.67928,0.947673,-0.086156,-0.305045,0.037951
StMarysChurch,train,seq7,StMarysChurch/seq7/frame00079.png,-5.414406,0.381996,-11.717171,0.877519,-0.312487,-0.350697,0.096565
StMarysChurch,train,seq4,StMarysChurch/seq4/frame00135.png,36.987192,-1.017069,38.493714,0.353241,-0.038184,0.914083,-0.195491
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00110.png,-7.5006,0.97502,39.474966,0.255758,-0.057204,-0.962474,0.070432
StMarysChurch,train,seq11,StMarysChurch/seq11/frame00001.png,40.150787,-0.891048,53.367508,0.372997,0.034963,0.92562,-0.053659
StMarysChurch,train,seq4,StMarysChurch/seq4/frame00040.png,18.807920000000006,-0.6427109999999999,-16.041420000000002,0.921336,-0.344847,0.1786839999999999,-0.01709
StMarysChurch,train,seq2,StMarysChurch/seq2/frame00209.png,-13.275902,1.375565,47.253911,0.5841890000000001,-0.08276,-0.798721,0.11798
StMarysChurch,train,seq4,StMarysChurch/seq4/frame00183.png,14.937896,0.159154,57.408423,0.168281,-0.02116,0.955699,-0.240625
StMarysChurch,train,seq2,StMarysChurch/seq2/frame00351.png,25.712848,-0.83467,-16.527282,0.939256,-0.132314,0.314903,-0.033571
StMarysChurch,train,seq7,StMarysChurch/seq7/frame00031.png,-13.59859,0.735108,-11.299805,0.887475,-0.132413,-0.43885,0.047603
StMarysChurch,train,seq2,StMarysChurch/seq2/frame00105.png,38.384756,-1.405681,35.612684,0.675608,-0.058515,0.734935,-0.000289
StMarysChurch,train,seq4,StMarysChurch/seq4/frame00066.png,36.145742,-1.287054,-9.70538,0.803621,-0.173656,0.541806,-0.174593
StMarysChurch,train,seq4,StMarysChurch/seq4/frame00028.png,10.196047,-0.450608,-17.772323999999994,0.934816,-0.349529,-0.051127,0.036538
StMarysChurch,train,seq1,StMarysChurch/seq1/frame00045.png,36.245699,-1.083821,27.753929,0.681768,-0.031878,0.7299329999999999,-0.037067
StMarysChurch,train,seq1,StMarysChurch/seq1/frame00088.png,25.941371,-0.258145,54.245925,0.274592,-0.023865,0.948723,-0.154772
StMarysChurch,train,seq4,StMarysChurch/seq4/frame00241.png,-13.117374,1.089439,38.339896,0.31837,-0.093486,-0.923909,0.190511
StMarysChurch,train,seq2,StMarysChurch/seq2/frame00042.png,37.861691,-1.3306639999999998,-9.118388,0.825109,-0.087305,0.557945,-0.01648
StMarysChurch,train,seq2,StMarysChurch/seq2/frame00101.png,38.230235,-1.326456,32.584411,0.698968,-0.092425,0.709147,0.003411
StMarysChurch,train,seq2,StMarysChurch/seq2/frame00170.png,10.401985,0.1683839999999999,57.31654200000001,0.061735,-0.066685,0.985361,-0.144644
StMarysChurch,train,seq2,StMarysChurch/seq2/frame00188.png,-1.997678,0.853715,56.13385600000001,0.14579,-0.061287,-0.981963,0.103559
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00104.png,-11.245845,1.319279,41.554271,0.357724,-0.0784509999999999,-0.921157,0.1317279999999999
StMarysChurch,train,seq7,StMarysChurch/seq7/frame00056.png,-17.557542,1.074099,-1.170779,0.783984,-0.112529,-0.607823,0.057077
StMarysChurch,train,seq2,StMarysChurch/seq2/frame00150.png,24.079988,-0.219353,58.612242,0.073777,0.009473,0.993357,-0.087563
StMarysChurch,train,seq4,StMarysChurch/seq4/frame00015.png,0.94364,-0.269294,-17.400786,0.929833,-0.328986,-0.157991,0.047093
StMarysChurch,train,seq1,StMarysChurch/seq1/frame00172.png,-7.1850770000000015,0.917947,20.805778,0.619262,-0.097843,-0.775378,0.0757019999999999
StMarysChurch,train,seq4,StMarysChurch/seq4/frame00258.png,-12.901967,0.925744,26.325305,0.413383,-0.15028,-0.8630690000000001,0.248276
StMarysChurch,train,seq8,StMarysChurch/seq8/frame00013.png,-13.913779000000002,0.950772,-11.884541,0.868936,-0.249601,-0.410571,0.118663
StMarysChurch,train,seq4,StMarysChurch/seq4/frame00069.png,37.255367,-1.32794,-8.105166,0.807211,-0.20663,0.5323760000000001,-0.1493
StMarysChurch,train,seq1,StMarysChurch/seq1/frame00204.png,-6.745925,0.567076,-2.544722,0.841648,-0.1028369999999999,-0.5291819999999999,0.031923
StMarysChurch,train,seq4,StMarysChurch/seq4/frame00290.png,-12.925043,0.788968,4.0851180000000005,0.684949,-0.239378,-0.627743,0.281926
StMarysChurch,train,seq4,StMarysChurch/seq4/frame00062.png,33.894791,-1.239742,-11.849059,0.808388,-0.212563,0.5250630000000001,-0.160109
StMarysChurch,train,seq4,StMarysChurch/seq4/frame00175.png,21.077077,-0.256748,57.616534,0.106225,-0.016411,0.970834,-0.214438
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00011.png,24.467539,-0.319269,58.32713199999999,0.257582,-0.01543,0.944928,-0.201323
StMarysChurch,train,seq2,StMarysChurch/seq2/frame00184.png,0.823476,0.812183,56.538802,0.155454,-0.039622,-0.978471,0.129833
StMarysChurch,train,seq2,StMarysChurch/seq2/frame00024.png,26.503625,-0.867823,-15.03658,0.97199,-0.106994,0.206679,0.032737
StMarysChurch,train,seq4,StMarysChurch/seq4/frame00036.png,16.101769,-0.5512729999999999,-17.005316,0.927872,-0.336037,0.160695,-0.017605
StMarysChurch,train,seq1,StMarysChurch/seq1/frame00080.png,31.131367,-0.570372,51.842311,0.267162,-0.020244,0.95529,-0.125068
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00174.png,-11.3131,0.793834,4.881774,0.7494350000000001,-0.195842,-0.608863,0.171114
StMarysChurch,train,seq11,StMarysChurch/seq11/frame00022.png,31.730184,-0.5224880000000001,57.615058,0.373236,-0.0170939999999999,0.917987,-0.133073
StMarysChurch,train,seq2,StMarysChurch/seq2/frame00211.png,-13.58271,1.417702,46.03699,0.520438,-0.081778,-0.8380190000000001,0.142058
StMarysChurch,train,seq1,StMarysChurch/seq1/frame00064.png,36.706422,-1.149769,41.888598,0.5742229999999999,-0.099245,0.809964,-0.066151
StMarysChurch,train,seq1,StMarysChurch/seq1/frame00186.png,-7.965133,0.756273,10.355033,0.652044,-0.103028,-0.746305,0.085172
StMarysChurch,train,seq1,StMarysChurch/seq1/frame00108.png,11.486037,0.439746,54.52888299999999,0.033774,0.016486,0.982846,-0.181651
StMarysChurch,train,seq2,StMarysChurch/seq2/frame00309.png,-2.922592,0.285708,-16.227764999999998,0.960062,-0.115794,-0.245971,0.0661139999999999
StMarysChurch,train,seq1,StMarysChurch/seq1/frame00132.png,-4.735899,0.918454,49.27173,0.345951,-0.079989,-0.930884,0.0859019999999999
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00047.png,6.472675,0.470815,53.328254,0.183584,-0.098965,-0.950893,0.22871
StMarysChurch,train,seq4,StMarysChurch/seq4/frame00201.png,1.650594,0.766939,56.08695,0.1133,-0.036376,-0.967538,0.222986
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00088.png,-10.830755,1.229427,50.42248,0.36449,-0.071408,-0.921807,0.1110109999999999
StMarysChurch,train,seq2,StMarysChurch/seq2/frame00100.png,38.200875,-1.138377,31.753651,0.7129220000000001,-0.084344,0.696099,-0.008606
StMarysChurch,train,seq1,StMarysChurch/seq1/frame00077.png,32.644501,-0.6979920000000001,49.932941,0.301926,-0.022168,0.950021,-0.076213
StMarysChurch,train,seq2,StMarysChurch/seq2/frame00247.png,-13.695535,1.153385,20.529505,0.526686,-0.093489,-0.827599,0.17013
StMarysChurch,train,seq2,StMarysChurch/seq2/frame00078.png,39.157636,-1.255637,15.486971,0.704762,-0.07712,0.703167,-0.054028
StMarysChurch,train,seq1,StMarysChurch/seq1/frame00084.png,28.799657,-0.377694,53.40492800000001,0.182751,-0.048318,0.973092,-0.131816
StMarysChurch,train,seq2,StMarysChurch/seq2/frame00272.png,-13.475052,0.7546229999999999,3.206216,0.729333,-0.094314,-0.656121,0.169367
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00186.png,-12.284188,0.654875,-1.436065,0.855305,-0.147315,-0.49167,0.070802
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00058.png,0.794613,0.7022,52.441444,0.40764,-0.103396,-0.887217,0.189709
StMarysChurch,train,seq2,StMarysChurch/seq2/frame00225.png,-13.723037,1.167107,36.142594,0.363787,-0.042329,-0.925559,0.095969
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00136.png,-9.274649,1.081785,25.510017,0.374778,-0.144205,-0.910542,0.098277
StMarysChurch,train,seq4,StMarysChurch/seq4/frame00024.png,7.332795,-0.098341,-17.962,0.933194,-0.353593,-0.044675,0.046088
StMarysChurch,train,seq1,StMarysChurch/seq1/frame00047.png,36.320461,-1.005811,29.337318,0.638741,-0.057073,0.765313,-0.055222
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00137.png,-9.202996,1.236375,25.036758,0.485094,-0.15256,-0.854239,0.108114
StMarysChurch,train,seq7,StMarysChurch/seq7/frame00038.png,-16.615607999999998,1.037647,-11.771548,0.857239,-0.132064,-0.496371,0.036291
StMarysChurch,train,seq7,StMarysChurch/seq7/frame00033.png,-14.551246,0.7982859999999999,-11.91652,0.879656,-0.129804,-0.455847,0.039503
StMarysChurch,train,seq1,StMarysChurch/seq1/frame00072.png,34.749494,-0.821866,47.161095,0.365824,-0.02957,0.923064,-0.115116
StMarysChurch,train,seq4,StMarysChurch/seq4/frame00029.png,10.841321,-0.311749,-17.995551000000006,0.935717,-0.351998,0.006871,0.021987
StMarysChurch,train,seq2,StMarysChurch/seq2/frame00110.png,38.412128,-1.362435,39.409709,0.649836,-0.094762,0.753844,0.021279
StMarysChurch,train,seq1,StMarysChurch/seq1/frame00068.png,36.026009,-0.935356,44.611231,0.383287,-0.035456,0.915027,-0.120667
StMarysChurch,train,seq7,StMarysChurch/seq7/frame00019.png,-8.544921,0.727908,-11.430411,0.8696780000000001,-0.133581,-0.474036,0.033275
StMarysChurch,train,seq11,StMarysChurch/seq11/frame00021.png,32.040811,-0.578202,57.513944,0.350207,-0.013917,0.931105,-0.101021
StMarysChurch,train,seq1,StMarysChurch/seq1/frame00129.png,-2.998875,0.906653,50.614338,0.23529,-0.063794,-0.962814,0.116444
StMarysChurch,train,seq1,StMarysChurch/seq1/frame00054.png,36.351845,-0.983825,34.345533,0.709563,-0.062808,0.699422,-0.058174
StMarysChurch,train,seq2,StMarysChurch/seq2/frame00146.png,26.47950100000001,-0.356362,58.335829,0.231628,-0.001919,0.966592,-0.109767
StMarysChurch,train,seq1,StMarysChurch/seq1/frame00070.png,35.390679,-0.813609,45.95591500000001,0.307234,-0.036929,0.942182,-0.1286
StMarysChurch,train,seq4,StMarysChurch/seq4/frame00300.png,-13.158417000000002,0.649217,-1.392165,0.7815300000000001,-0.256972,-0.5303939999999999,0.204595
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00015.png,21.972506,-0.041646,58.109403,0.328296,0.019473,0.94262,-0.057558
StMarysChurch,train,seq7,StMarysChurch/seq7/frame00064.png,-13.067475,0.8599709999999999,-4.289414,0.8423579999999999,-0.080244,-0.532533,0.02007
StMarysChurch,train,seq1,StMarysChurch/seq1/frame00094.png,21.641194,-0.072071,54.450235,0.22297,-0.002777,0.961828,-0.158657
StMarysChurch,train,seq4,StMarysChurch/seq4/frame00008.png,-4.437588,0.421123,-16.508335,0.919553,-0.371054,-0.119974,0.048447
StMarysChurch,train,seq1,StMarysChurch/seq1/frame00107.png,12.327518,0.406024,54.421646,0.074095,0.006711,0.978705,-0.191562
StMarysChurch,train,seq4,StMarysChurch/seq4/frame00088.png,37.710344,-1.397047,4.606466,0.688553,-0.206457,0.671137,-0.181232
StMarysChurch,train,seq2,StMarysChurch/seq2/frame00082.png,38.756646,-1.521206,18.292329,0.796801,-0.08107,0.598467,-0.019283
StMarysChurch,train,seq1,StMarysChurch/seq1/frame00012.png,35.739362,-1.077442,4.623061,0.788706,-0.054156,0.609286,-0.06149
StMarysChurch,train,seq2,StMarysChurch/seq2/frame00059.png,38.219555,-1.346541,2.201678,0.797478,-0.047952,0.5991569999999999,-0.05236
StMarysChurch,train,seq1,StMarysChurch/seq1/frame00035.png,36.167144,-1.218378,20.602848,0.6872550000000001,-0.033507,0.72536,-0.020291
StMarysChurch,train,seq2,StMarysChurch/seq2/frame00058.png,38.353114,-1.294951,1.4076229999999998,0.775054,-0.09285,0.621648,-0.064994
StMarysChurch,train,seq4,StMarysChurch/seq4/frame00257.png,-12.86494,0.927818,27.047081,0.437344,-0.132928,-0.856727,0.238913
StMarysChurch,train,seq1,StMarysChurch/seq1/frame00156.png,-6.9301770000000005,0.927201,32.697523,0.589677,-0.070779,-0.797813,0.103766
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00029.png,18.872564,0.1421319999999999,51.39633,0.4358770000000001,-0.005346,0.8974469999999999,-0.067605
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00164.png,-10.291322,0.933244,10.128079,0.932562,-0.083633,-0.349304,0.036343
StMarysChurch,train,seq4,StMarysChurch/seq4/frame00009.png,-3.611731,0.093553,-16.026719,0.908576,-0.385762,-0.154156,0.043741
StMarysChurch,train,seq4,StMarysChurch/seq4/frame00012.png,-1.428136,0.083612,-17.05112,0.933165,-0.348302,-0.074248,0.048744
StMarysChurch,train,seq2,StMarysChurch/seq2/frame00099.png,38.297982,-1.359453,31.31435,0.704944,-0.0748279999999999,0.705094,-0.017221
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00161.png,-10.051131,0.7891130000000001,11.34054,0.942098,-0.082319,-0.323526,0.03174
StMarysChurch,train,seq7,StMarysChurch/seq7/frame00062.png,-14.036643,0.796025,-3.21135,0.835192,-0.0792669999999999,-0.540162,0.066302
StMarysChurch,train,seq2,StMarysChurch/seq2/frame00271.png,-13.3969,0.814218,3.764036,0.736838,-0.119726,-0.644229,0.166449
StMarysChurch,train,seq4,StMarysChurch/seq4/frame00022.png,5.740576,-0.032824,-17.869187,0.921792,-0.375575,-0.094341,0.018498
StMarysChurch,train,seq2,StMarysChurch/seq2/frame00249.png,-13.553975,1.005087,19.186371,0.523459,-0.105137,-0.8334729999999999,0.142344
